algoritmo;dataset;query;tree_leaves_time;external_keys_time;case1_time;case2_time;case3_time;total_time;memory;tree_leaves_time_perc;external_keys_time_perc;case1_time_perc;case2_time_perc;case3_time_perc
PGKEYMAKER-NOTREE;finbench;1;64.53;0.0;0.0;0.0;0.0;64.53;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER-NOTREE;finbench;2;39.4;0.0;0.0;0.0;0.0;39.4;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER-NOTREE;finbench;3;45.77;0.0;0.0;0.0;0.0;45.77;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER-NOTREE;finbench;4;41.03;0.0;0.0;0.0;0.0;41.03;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER-NOTREE;finbench;5;36.05;0.0;0.0;0.0;0.0;36.05;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER-NOTREE;finbench;6;45.49;0.0;0.0;0.0;0.0;45.49;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER-NOTREE;finbench;7;44.68;0.0;0.0;0.0;0.0;44.68;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER-NOTREE;finbench;8;44.16;0.0;0.0;0.0;0.0;44.16;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER-NOTREE;synthea_100;1;10.27;0.0;0.0;6.0;0.48;16.75;;61.31;0.0;0.0;35.82;2.87
PGKEYMAKER-NOTREE;synthea_100;2;9.19;0.0;0.0;30.77;4.77;44.73;;20.55;0.0;0.0;68.79;10.66
PGKEYMAKER-NOTREE;synthea_100;3;8.37;0.0;0.0;12.13;1.26;21.76;;38.47;0.0;0.0;55.74;5.79
PGKEYMAKER-NOTREE;synthea_100;4;15.08;0.0;0.0;8.08;0.43;23.59;;63.93;0.0;0.0;34.25;1.82
PGKEYMAKER-NOTREE;synthea_100;5;8.6;0.0;0.0;28.42;5.03;42.05;;20.45;0.0;0.0;67.59;11.96
PGKEYMAKER-NOTREE;synthea_100;6;7.72;0.0;0.0;6.98;0.84;15.54;;49.68;0.0;0.0;44.92;5.41
PGKEYMAKER-NOTREE;synthea_100;7;10.25;0.0;0.0;36.16;5.59;52.0;;19.71;0.0;0.0;69.54;10.75
PGKEYMAKER-NOTREE;synthea_100;8;12.22;0.0;0.0;22.7;2.49;37.41;;32.67;0.0;0.0;60.68;6.66
PGKEYMAKER-NOTREE;synthea_1000;1;54.49;135.15;0.0;85.81;9.51;284.96;;19.12;47.43;0.0;30.11;3.34
PGKEYMAKER-NOTREE;synthea_1000;2;62.52;239.89;0.0;235.19;29.76;567.36;;11.02;42.28;0.0;41.45;5.25
PGKEYMAKER-NOTREE;synthea_1000;3;61.35;236.6;0.0;238.04;30.0;565.99;;10.84;41.8;0.0;42.06;5.3
PGKEYMAKER-NOTREE;synthea_1000;4;85.29;340.81;0.0;256.46;39.13;721.69;;11.82;47.22;0.0;35.54;5.42
PGKEYMAKER-NOTREE;synthea_1000;5;45.17;135.0;0.0;87.91;12.7;280.78;;16.09;48.08;0.0;31.31;4.52
PGKEYMAKER-NOTREE;synthea_1000;6;61.25;234.38;0.0;146.05;24.55;466.23;;13.14;50.27;0.0;31.33;5.27
PGKEYMAKER-NOTREE;synthea_1000;7;57.07;239.53;0.0;140.26;18.06;454.92;;12.55;52.65;0.0;30.83;3.97
PGKEYMAKER-NOTREE;synthea_1000;8;82.42;355.79;0.0;234.58;30.8;703.59;;11.71;50.57;0.0;33.34;4.38
PGKEYMAKER_hpivalid;finbench;1;52.85;0.0;0.0;0.0;0.0;52.85;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER_hpivalid;finbench;2;30.47;0.0;0.0;0.0;0.0;30.47;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER_hpivalid;finbench;3;34.78;0.0;0.0;0.0;0.0;34.78;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER_hpivalid;finbench;4;33.66;0.0;0.01;0.0;0.0;33.67;;99.97;0.0;0.03;0.0;0.0
PGKEYMAKER_hpivalid;finbench;5;28.77;0.0;0.0;0.0;0.0;28.77;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER_hpivalid;finbench;6;35.64;0.0;0.0;0.0;0.0;35.64;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER_hpivalid;finbench;7;33.38;0.0;0.0;0.0;0.0;33.38;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER_hpivalid;finbench;8;34.64;0.0;0.0;0.0;0.0;34.64;;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER_hpivalid;synthea_100;1;6.98;0.0;0.0;5.1;0.7;12.78;;54.62;0.0;0.0;39.91;5.48
PGKEYMAKER_hpivalid;synthea_100;2;4.59;0.0;0.0;26.19;2.63;33.41;;13.74;0.0;0.0;78.39;7.87
PGKEYMAKER_hpivalid;synthea_100;3;5.5;0.0;0.0;13.19;1.23;19.92;;27.61;0.0;0.0;66.21;6.17
PGKEYMAKER_hpivalid;synthea_100;4;6.46;0.0;0.0;7.38;0.37;14.21;;45.46;0.0;0.0;51.94;2.6
PGKEYMAKER_hpivalid;synthea_100;5;5.21;0.0;0.0;23.14;2.34;30.69;;16.98;0.0;0.0;75.4;7.62
PGKEYMAKER_hpivalid;synthea_100;6;5.19;0.0;0.0;8.13;0.78;14.1;;36.81;0.0;0.0;57.66;5.53
PGKEYMAKER_hpivalid;synthea_100;7;6.16;0.0;0.0;32.09;5.49;43.74;;14.08;0.0;0.0;73.37;12.55
PGKEYMAKER_hpivalid;synthea_100;8;4.5;0.0;0.0;21.65;2.14;28.29;;15.91;0.0;0.0;76.53;7.56
PGKEYMAKER_hpivalid;synthea_1000;1;52.93;120.32;0.0;88.51;9.09;270.85;;19.54;44.42;0.0;32.68;3.36
PGKEYMAKER_hpivalid;synthea_1000;2;35.74;112.91;0.0;216.95;42.14;407.74;;8.77;27.69;0.0;53.21;10.34
PGKEYMAKER_hpivalid;synthea_1000;3;39.47;115.57;0.0;241.66;31.81;428.51;;9.21;26.97;0.0;56.4;7.42
PGKEYMAKER_hpivalid;synthea_1000;4;36.55;120.49;0.0;251.53;37.67;446.24;;8.19;27.0;0.0;56.37;8.44
PGKEYMAKER_hpivalid;synthea_1000;5;37.44;123.29;0.0;92.13;13.0;265.86;;14.08;46.37;0.0;34.65;4.89
PGKEYMAKER_hpivalid;synthea_1000;6;36.96;120.62;0.0;189.49;24.88;371.95;;9.94;32.43;0.0;50.95;6.69
PGKEYMAKER_hpivalid;synthea_1000;7;46.51;160.93;0.0;206.0;29.0;442.44;;10.51;36.37;0.0;46.56;6.55
PGKEYMAKER_hpivalid;synthea_1000;8;58.85;224.9;0.0;338.63;39.93;662.31;;8.89;33.96;0.0;51.13;6.03
PGKEYMAKER_hpivalid;synthea_200;1;18.73;0.0;0.0;78.3;4.08;101.11;;18.52;0.0;0.0;77.44;4.04
PGKEYMAKER_hpivalid;synthea_200;2;12.04;0.0;0.0;144.3;18.11;174.45;;6.9;0.0;0.0;82.72;10.38
