algoritmo;dataset;query;tree_leaves_time;external_keys_time;case1_time;case2_time;case3_time;total_time;memory;tree_leaves_time_perc;external_keys_time_perc;case1_time_perc;case2_time_perc;case3_time_perc
PGKEYMAKER;finbench;1;31.81;0.0;0.0;0.0;0.0;31.81;308.21;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER;finbench;2;18.15;0.0;0.0;0.0;0.0;18.15;378.8;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER;finbench;3;32.97;0.0;0.0;0.0;0.0;32.97;378.21;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER;finbench;4;24.49;0.0;0.0;0.0;0.0;24.49;265.22;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER;finbench;5;23.51;0.0;0.0;0.0;0.0;23.51;239.76;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER;finbench;6;21.97;0.0;0.0;0.0;0.0;21.97;276.94;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER;finbench;7;21.69;0.0;0.0;0.0;0.0;21.69;261.58;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER;finbench;8;23.16;0.0;0.0;0.0;0.0;23.16;309.56;100.0;0.0;0.0;0.0;0.0
PGKEYMAKER;synthea_100;1;10.25;0.0;0.0;13.3;0.97;24.52;233.62;41.8;0.0;0.0;54.24;3.96
PGKEYMAKER;synthea_100;2;4.66;0.0;0.0;25.3;4.24;34.2;320.8;13.63;0.0;0.0;73.98;12.4
PGKEYMAKER;synthea_100;3;5.63;0.0;0.0;12.33;2.04;20.0;297.78;28.15;0.0;0.0;61.65;10.2
PGKEYMAKER;synthea_100;4;5.85;0.0;0.0;7.69;0.76;14.3;233.43;40.91;0.0;0.0;53.78;5.31
PGKEYMAKER;synthea_100;5;4.99;0.0;0.0;28.62;3.52;37.13;288.17;13.44;0.0;0.0;77.08;9.48
PGKEYMAKER;synthea_100;6;5.55;0.0;0.0;8.53;1.23;15.31;260.47;36.25;0.0;0.0;55.72;8.03
PGKEYMAKER;synthea_100;7;4.71;0.0;0.0;35.35;5.37;45.43;370.7;10.37;0.0;0.0;77.81;11.82
PGKEYMAKER;synthea_100;8;5.87;0.0;0.0;22.67;3.41;31.95;298.05;18.37;0.0;0.0;70.95;10.67
PGKEYMAKER;synthea_1000;1;35.66;449.61;0.0;81.73;7.62;574.62;804.27;6.21;78.24;0.0;14.22;1.33
PGKEYMAKER;synthea_1000;2;34.5;449.59;0.0;214.48;25.01;723.58;1449.1;4.77;62.13;0.0;29.64;3.46
PGKEYMAKER;synthea_1000;3;35.42;446.88;0.0;212.72;24.12;719.14;1530.49;4.93;62.14;0.0;29.58;3.35
PGKEYMAKER;synthea_1000;4;29.48;437.3;0.0;268.88;91.87;827.53;1376.28;3.56;52.84;0.0;32.49;11.1
PGKEYMAKER;synthea_1000;5;33.48;445.75;0.0;91.1;8.74;579.07;796.89;5.78;76.98;0.0;15.73;1.51
PGKEYMAKER;synthea_1000;6;33.56;440.41;0.0;138.92;16.27;629.16;908.75;5.33;70.0;0.0;22.08;2.59
PGKEYMAKER;synthea_1000;7;33.27;440.8;0.0;149.24;15.69;639.0;978.75;5.21;68.98;0.0;23.36;2.46
PGKEYMAKER;synthea_1000;8;32.35;458.08;0.0;232.6;27.62;750.65;1540.98;4.31;61.02;0.0;30.99;3.68
PGKEYMAKER;synthea_200;1;12.3;0.0;0.0;70.97;3.66;86.93;468.7;14.15;0.0;0.0;81.64;4.21
