algoritmo;dataset;query;tempo_internal;tempo_external;total_time;memory
HyUCC_bs1;finbench;1;1562.82;0.0;1562.82;9004.43
HyUCC_bs1;finbench;2;4779.846;0.0;4779.846;27579.13
HyUCC_bs1;finbench;3;1267.526;0.0;1267.526;8981.66
HyUCC_bs1;finbench;4;302.011;0.0;302.011;8792.88
HyUCC_bs1;finbench;5;300.617;0.0;300.617;6624.57
HyUCC_bs1;finbench;6;276.416;0.0;276.416;1491.38
HyUCC_bs1;finbench;7;289.552;0.0;289.552;1705.12
HyUCC_bs1;finbench;8;274.149;0.0;274.149;1504.59
HyUCC_bs1;synthea_100;1;30.952;0.0;30.952;225.91
HyUCC_bs1;synthea_100;2;40.848;0.0;40.848;293.77
HyUCC_bs1;synthea_100;3;42.2;0.0;42.2;371.31
HyUCC_bs1;synthea_100;4;20.426;0.0;20.426;228.22
HyUCC_bs1;synthea_100;5;37.195;0.0;37.195;270.71
HyUCC_bs1;synthea_100;6;31.438;0.0;31.438;261.04
HyUCC_bs1;synthea_100;7;50.595;0.0;50.595;359.59
HyUCC_bs1;synthea_100;8;51.877;0.0;51.877;355.92
HyUCC_bs1;synthea_1000;1;167.508;440.891;608.399;1077.93
HyUCC_bs1;synthea_1000;2;300.392;896.831;1197.223;1464.61
HyUCC_bs1;synthea_1000;3;288.702;880.843;1169.545;1975.27
HyUCC_bs1;synthea_1000;4;412.367;1376.178;1788.545;1597.93
HyUCC_bs1;synthea_1000;5;146.444;439.805;586.249;1295.11
HyUCC_bs1;synthea_1000;6;222.913;893.177;1116.0900000000001;1430.33
HyUCC_bs1;synthea_1000;7;194.836;884.324;1079.1599999999999;1236.9
HyUCC_bs1;synthea_1000;8;326.576;1317.927;1644.503;1676.88
HyUCC_bs1;synthea_200;1;100.45;0.0;100.45;571.0
HyUCC_bs1;synthea_200;2;137.819;0.0;137.819;654.71
HyUCC_bs1;synthea_200;3;52.254;0.0;52.254;395.63
HyUCC_bs1;synthea_200;4;94.82;0.0;94.82;490.71
HyUCC_bs1;synthea_200;5;41.533;0.0;41.533;466.41
HyUCC_bs1;synthea_200;6;81.651;0.0;81.651;476.0
HyUCC_bs1;synthea_200;7;71.555;0.0;71.555;483.94
HyUCC_bs1;synthea_200;8;132.168;0.0;132.168;612.68
HyUCC_bs1;synthea_300;1;70.937;0.0;70.937;442.5
HyUCC_bs1;synthea_300;2;134.99;0.0;134.99;740.96
HyUCC_bs1;synthea_300;3;133.541;0.0;133.541;731.35
HyUCC_bs1;synthea_300;4;172.084;0.0;172.084;806.69
HyUCC_bs1;synthea_300;5;61.132;0.0;61.132;566.59
HyUCC_bs1;synthea_300;6;108.183;0.0;108.183;553.05
HyUCC_bs1;synthea_300;7;93.905;0.0;93.905;535.45
HyUCC_bs1;synthea_300;8;154.838;0.0;154.838;824.15
HyUCC_bs1;synthea_400;1;62.573;129.821;192.394;503.7
HyUCC_bs1;synthea_400;2;137.558;388.289;525.847;685.45
HyUCC_bs1;synthea_400;3;220.363;466.959;687.322;782.3
HyUCC_bs1;synthea_400;4;146.846;394.825;541.671;860.66
HyUCC_bs1;synthea_400;5;51.156;140.865;192.02100000000002;721.18
HyUCC_bs1;synthea_400;6;92.726;277.962;370.688;555.7
HyUCC_bs1;synthea_400;7;86.131;270.426;356.557;563.71
HyUCC_bs1;synthea_400;8;135.932;404.981;540.913;897.14
HyUCC_bs1;synthea_500;1;90.281;157.854;248.13500000000002;646.92
HyUCC_bs1;synthea_500;2;154.878;333.648;488.526;889.06
HyUCC_bs1;synthea_500;3;154.832;332.47;487.302;891.28
HyUCC_bs1;synthea_500;4;183.983;461.927;645.9100000000001;1027.41
HyUCC_bs1;synthea_500;5;64.094;156.88;220.974;601.62
HyUCC_bs1;synthea_500;6;108.917;305.643;414.55999999999995;672.48
HyUCC_bs1;synthea_500;7;101.39;306.091;407.481;692.28
HyUCC_bs1;synthea_500;8;163.76;459.636;623.396;1004.4
HyUCC_bs1;synthea_600;1;195.191;302.85;498.04100000000005;812.53
HyUCC_bs1;synthea_600;2;210.023;542.748;752.7710000000001;1092.94
HyUCC_bs1;synthea_600;3;227.415;570.911;798.3259999999999;1283.14
HyUCC_bs1;synthea_600;4;339.834;779.112;1118.946;1346.5
HyUCC_bs1;synthea_600;5;97.262;271.809;369.071;1132.94
HyUCC_bs1;synthea_600;6;175.154;541.96;717.114;921.03
HyUCC_bs1;synthea_600;7;168.878;528.493;697.3710000000001;894.71
HyUCC_bs1;synthea_600;8;271.035;797.894;1068.929;1248.61
HyUCC_bs1;synthea_700;1;137.768;293.416;431.18399999999997;813.06
HyUCC_bs1;synthea_700;2;227.213;582.637;809.8499999999999;1175.05
HyUCC_bs1;synthea_700;3;215.496;579.983;795.4789999999999;1149.66
HyUCC_bs1;synthea_700;4;273.815;732.624;1006.4390000000001;1187.13
HyUCC_bs1;synthea_700;5;90.128;292.522;382.65;1106.82
HyUCC_bs1;synthea_700;6;161.243;575.883;737.126;902.5
HyUCC_bs1;synthea_700;7;157.792;579.071;736.863;880.1
HyUCC_bs1;synthea_700;8;251.142;843.247;1094.389;1228.29
HyUCC_bs1;synthea_800;1;135.635;299.106;434.741;811.36
HyUCC_bs1;synthea_800;2;233.114;573.166;806.2800000000001;1195.7
HyUCC_bs1;synthea_800;3;226.165;578.632;804.7969999999999;1612.53
HyUCC_bs1;synthea_800;4;298.801;841.404;1140.205;1458.61
HyUCC_bs1;synthea_800;5;96.47;302.489;398.95899999999995;1169.57
HyUCC_bs1;synthea_800;6;155.752;573.585;729.337;921.6
HyUCC_bs1;synthea_800;7;153.178;543.933;697.111;825.86
HyUCC_bs1;synthea_800;8;250.632;857.159;1107.791;1531.21
HyUCC_bs1;synthea_900;1;152.313;375.513;527.826;966.73
HyUCC_bs1;synthea_900;2;266.415;775.215;1041.63;1497.34
HyUCC_bs1;synthea_900;3;266.847;757.945;1024.792;1602.78
HyUCC_bs1;synthea_900;4;380.251;1140.317;1520.568;1759.27
HyUCC_bs1;synthea_900;5;108.377;385.403;493.78000000000003;1543.58
HyUCC_bs1;synthea_900;6;210.896;769.446;980.342;1410.84
HyUCC_bs1;synthea_900;7;191.261;761.157;952.418;1228.34
HyUCC_bs1;synthea_900;8;304.551;1141.548;1446.099;1488.77
