algoritmo;dataset;query;tempo_internal;tempo_external;total_time;memory
HPIValid;finbench;1;1452.842;0.0;1452.842;8967.68
HPIValid;finbench;2;3670.699;0.0;3670.699;27476.91
HPIValid;finbench;3;1402.021;0.0;1402.021;9879.46
HPIValid;finbench;4;346.49;0.0;346.49;1787.18
HPIValid;finbench;5;333.091;0.0;333.091;2121.37
HPIValid;finbench;6;300.256;0.0;300.256;1431.56
HPIValid;finbench;7;297.852;0.0;297.852;1895.55
HPIValid;finbench;8;285.368;0.0;285.368;1432.23
HPIValid;synthea_100;1;27.339;0.0;27.339;210.98
HPIValid;synthea_100;2;33.747;0.0;33.747;258.13
HPIValid;synthea_100;3;40.342;0.0;40.342;300.98
HPIValid;synthea_100;4;17.618;0.0;17.618;203.95
HPIValid;synthea_100;5;31.268;0.0;31.268;282.88
HPIValid;synthea_100;6;27.572;0.0;27.572;254.36
HPIValid;synthea_100;7;44.92;0.0;44.92;323.66
HPIValid;synthea_100;8;54.275;0.0;54.275;285.84
HPIValid;synthea_1000;1;189.364;117.112;306.476;825.07
HPIValid;synthea_1000;2;292.814;241.848;534.662;1534.07
HPIValid;synthea_1000;3;289.624;223.095;512.719;1522.36
HPIValid;synthea_1000;4;121.343;109.331;230.674;1099.89
HPIValid;synthea_1000;5;214.016;223.384;437.4;1225.59
HPIValid;synthea_1000;6;206.054;227.145;433.199;1205.68
HPIValid;synthea_1000;7;331.227;332.244;663.471;1638.94
HPIValid;synthea_1000;8;359.118;343.174;702.2919999999999;1793.26
HPIValid;synthea_200;1;55.635;0.0;55.635;385.52
HPIValid;synthea_200;2;86.409;0.0;86.409;485.73
HPIValid;synthea_200;3;93.697;0.0;93.697;634.57
HPIValid;synthea_200;4;40.904;0.0;40.904;550.62
HPIValid;synthea_200;5;73.918;0.0;73.918;409.68
HPIValid;synthea_200;6;67.693;0.0;67.693;419.63
HPIValid;synthea_200;7;112.893;0.0;112.893;545.39
HPIValid;synthea_200;8;115.679;0.0;115.679;536.07
HPIValid;synthea_300;1;71.253;0.0;71.253;445.14
HPIValid;synthea_300;2;109.153;0.0;109.153;711.91
HPIValid;synthea_300;3;117.898;0.0;117.898;623.73
HPIValid;synthea_300;4;50.397;0.0;50.397;497.7
HPIValid;synthea_300;5;86.729;0.0;86.729;600.24
HPIValid;synthea_300;6;81.588;0.0;81.588;507.17
HPIValid;synthea_300;7;134.487;0.0;134.487;653.83
HPIValid;synthea_300;8;141.352;0.0;141.352;749.88
HPIValid;synthea_400;1;79.099;50.845;129.94400000000002;486.11
HPIValid;synthea_400;2;118.021;92.733;210.75400000000002;684.85
HPIValid;synthea_400;3;118.678;94.667;213.345;863.35
HPIValid;synthea_400;4;50.774;46.569;97.343;633.09
HPIValid;synthea_400;5;89.326;92.173;181.499;572.57
HPIValid;synthea_400;6;86.596;93.749;180.345;525.6
HPIValid;synthea_400;7;136.148;137.383;273.531;731.95
HPIValid;synthea_400;8;144.279;143.204;287.483;642.18
HPIValid;synthea_500;1;104.06;62.633;166.693;569.34
HPIValid;synthea_500;2;175.517;123.283;298.8;906.82
HPIValid;synthea_500;3;243.099;230.489;473.58799999999997;1057.62
HPIValid;synthea_500;4;124.061;86.682;210.743;530.88
HPIValid;synthea_500;5;173.503;162.326;335.82899999999995;636.3
HPIValid;synthea_500;6;197.353;229.503;426.856;592.74
HPIValid;synthea_500;7;264.511;266.759;531.27;878.42
HPIValid;synthea_500;8;213.151;176.606;389.757;967.52
HPIValid;synthea_600;1;148.439;103.266;251.70499999999998;634.7
HPIValid;synthea_600;2;259.12;197.817;456.937;1056.01
HPIValid;synthea_600;3;300.725;231.097;531.822;1169.52
HPIValid;synthea_600;4;117.054;114.143;231.197;1156.17
HPIValid;synthea_600;5;167.685;171.751;339.43600000000004;886.02
HPIValid;synthea_600;6;162.555;169.752;332.307;859.7
HPIValid;synthea_600;7;256.524;265.947;522.471;1357.83
HPIValid;synthea_600;8;296.169;259.931;556.0999999999999;1102.62
HPIValid;synthea_700;1;159.046;82.473;241.519;677.3
HPIValid;synthea_700;2;212.03;163.499;375.529;1063.66
HPIValid;synthea_700;3;203.465;158.958;362.423;1144.0
HPIValid;synthea_700;4;85.983;81.764;167.747;878.73
HPIValid;synthea_700;5;149.349;159.893;309.24199999999996;905.22
HPIValid;synthea_700;6;144.975;161.296;306.27099999999996;892.19
HPIValid;synthea_700;7;243.367;246.764;490.131;1285.59
HPIValid;synthea_700;8;266.399;258.01;524.409;1048.95
HPIValid;synthea_800;1;133.723;91.476;225.199;661.95
HPIValid;synthea_800;2;219.999;170.064;390.063;1080.39
HPIValid;synthea_800;3;221.04;166.581;387.621;1192.07
HPIValid;synthea_800;4;89.057;82.598;171.655;1204.58
HPIValid;synthea_800;5;161.714;167.841;329.555;966.97
HPIValid;synthea_800;6;154.272;166.585;320.85699999999997;908.42
HPIValid;synthea_800;7;253.143;252.946;506.089;1258.74
HPIValid;synthea_800;8;275.494;255.495;530.989;1111.95
HPIValid;synthea_900;1;164.367;120.329;284.69599999999997;973.05
HPIValid;synthea_900;2;283.573;215.195;498.768;1712.74
HPIValid;synthea_900;3;271.514;218.389;489.903;1761.97
HPIValid;synthea_900;4;111.915;106.843;218.758;871.94
HPIValid;synthea_900;5;200.845;213.31;414.155;1075.95
HPIValid;synthea_900;6;190.757;213.989;404.746;1002.31
HPIValid;synthea_900;7;316.625;316.757;633.3820000000001;1553.21
HPIValid;synthea_900;8;342.136;323.271;665.407;1491.43
